year,Price
1941,79980.0
1961,5750.0
1965,2500.0
1968,1850.0
1969,6900.0
1970,3250.0
1971,2900.0
1972,3200.0
1973,5500.0
1974,5983.333333333333
1975,6250.0
1977,1950.0
1978,3875.0
1979,1500.0
1980,4120.0
1981,5300.0
1982,2470.0
1983,2050.0
1985,1500.0
1986,5200.0
1987,6497.5
1988,2000.0
1990,1750.0
1992,5500.0
1993,7575.0
1994,3500.0
1995,12326.666666666666
1996,5414.166666666667
1997,6856.428571428572
1998,4583.076923076923
1999,5478.1
2000,5443.111111111111
2001,7467.8125
2002,5807.538461538462
2003,6744.107142857143
2004,6769.2692307692305
2005,7622.694444444444
2006,6657.891891891892
2007,6294.66
2008,9120.595238095239
2009,9588.823529411764
2010,9689.692307692309
2011,10448.2
2012,11834.018181818183
2013,10486.917808219177
2014,10905.685393258427
2015,11350.761467889908
2016,13656.737704918032
2017,15151.5
2018,14989.044776119403
2019,14004.467741935483
2020,15303.768
2021,15987.435294117648
2022,11912.048780487805
